school_name,state,size,admission_rate,pell_grant_rate,median_debt,cost_of_attendance,net_price_0_30k,net_price_30_48k,net_price_48_75k,net_price_75_110k,net_price_110k_plus
Fordham University,NY,10512,0.5931,0.2142,24300,82762,32474,31657,37313,42030,52228
Virginia Polytechnic Institute and State University,VA,30923,0.5478,0.1529,21500,36951,11689,11670,17894,25835,34201
North Carolina State University at Raleigh,NC,27371,0.4174,0.1958,20121,26425,6382,8758,13334,20087,24652
University of Massachusetts-Amherst,MA,23671,0.5973,0.1994,22763,34549,10164,10456,12932,18964,30793
Colorado School of Mines,CO,6155,0.6069,0.1357,23000,40560,16849,18162,22192,28183,35112
University of Iowa,IA,22264,0.8362,0.1835,22500,28596,15316,15489,19930,23811,26266
University of California-Riverside,CA,22593,0.7639,0.4695,17500,38942,8852,9840,13111,16571,30393
Stony Brook University,NY,18101,0.4904,0.3944,18228,30539,12943,15432,20728,23424,27716
University at Buffalo,NY,20112,0.7418,0.3313,19000,30785,14668,16585,21262,24117,28079
Binghamton University,NY,14655,0.3861,0.2812,18500,30345,12171,15281,20347,23533,28475
The University of Alabama,AL,33227,0.7665,0.184,22750,33382,19169,19884,22258,25658,26729
The University of Tennessee-Knoxville,TN,30418,0.416,0.1889,20500,33678,10029,12162,18206,23627,25688
University of South Carolina-Columbia,SC,29820,0.6015,0.1911,21500,31638,12634,14953,19859,24478,28125
Auburn University,AL,26816,0.4592,0.1253,21000,34919,16681,17627,20558,25808,29547
University of Colorado Boulder,CO,31939,0.7808,0.1449,19500,37684,14231,14381,18828,26915,34818
Arizona State University Campus Immersion,AZ,64674,0.8989,0.2899,19500,30111,9070,10711,16801,20130,24296
University of Arizona,AZ,42537,0.8614,0.257,19620,29423,13353,14984,16051,19777,22307
Washington University in St Louis,MO,7857,0.1206,0.1775,17500,88488,1716,1928,5578,12603,42170
Drexel University,PA,13233,0.7944,0.2676,25325,76835,28055,29435,34970,37842,48089
Marquette University,WI,7660,0.8134,0.1839,23940,66768,22269,18916,27378,32374,36813
Loyola University Chicago,IL,11737,0.816,0.2375,24157,67408,28992,28663,32432,36853,42346
DePaul University,IL,14090,0.7589,0.3178,23168,63052,27359,25950,28687,31057,37092
Howard University,DC,10108,0.4134,0.4,24500,54630,46051,47477,50245,52981,54270
Texas Christian University,TX,11026,0.4449,0.1432,21500,76604,17956,16980,17940,34990,53450
Southern Methodist University,TX,7277,0.6335,0.1276,19500,85606,23544,20038,24152,33477,58213
