school_name,state,size,admission_rate,pell_grant_rate,median_debt,cost_of_attendance,net_price_0_30k,net_price_30_48k,net_price_48_75k,net_price_75_110k,net_price_110k_plus,par_q1,par_top1pc,par_median,mobility_rate
Texas A&M University-College Station,TX,59615,0.5743,0.1964,17804,32696,12784,13317,17435,26520,30660,12.235297,.44731897,72800,1.9332644
Pennsylvania State University-Main Campus,PA,42284,0.6056,0.1388,25000,39694,19845,20049,25667,31834,37831,5.827394,1.4083563,95400,1.7627659
Syracuse University,NY,15477,0.4592,0.1707,26000,84517,15817,15845,21132,28780,55401,5.6894026,7.2329192,119700,2.9369733
Indiana University-Bloomington,IN,37806,0.7821,0.1676,19509,28801,6324,7610,12154,20204,25128,5.2903256,3.0216954,99400,.92174691
University of Connecticut,CT,19835,0.5239,0.2538,21500,39426,15193,16339,20608,28285,33797,3.6613486,1.3716867,110300,1.7135376
Brandeis University,MA,3618,0.405,0.1497,25648,86448,13363,15135,20536,26784,54885,4.0012894,8.615428,142700,2.0382755
Northeastern University,MA,17326,0.0522,0.1234,24250,84641,2264,2436,5301,16241,47696,5.1461115,3.782536,108300,2.4375606
Case Western Reserve University,OH,6437,0.3654,0.1752,24000,85851,19025,18506,20849,26159,53061,3.2713771,3.5472538,118200,1.7887011
Tulane University of Louisiana,LA,7767,0.1398,0.0976,20500,87004,16126,18041,20149,28207,56667,16.702759,.39558756,63100,5.2551394
University of Pittsburgh-Pittsburgh Campus,PA,20370,0.5808,0.1398,24250,38105,14709,18371,23192,31567,36008,5.6858778,1.1291192,91200,1.799047
University of Miami,FL,12913,0.189,0.1486,17500,86078,15978,17941,21768,27982,50352,7.4726262,7.3890843,110100,2.9765637
Worcester Polytechnic Institute,MA,5447,0.6016,0.1188,27000,78679,24018,24452,32350,37753,49716,3.2200336,1.9953896,109500,2.1758401
Stevens Institute of Technology,NJ,4222,0.4758,0.2043,27000,79790,27221,27603,33102,38095,49538,6.8676248,1.2514296,96000,4.2902327
University of California-Santa Cruz,CA,17940,0.6579,0.3157,16666,41179,8717,10613,14418,18986,33323,7.3746986,2.6509078,115400,2.7699087
Yeshiva University,NY,2852,0.5562,0.1344,18250,70892,24103,25462,28207,41944,69618,3.1594985,12.664589,180100,1.5016813
American University,DC,7266,0.6196,0.1388,22750,76058,23233,20444,26035,30063,53673,3.5309114,8.7893448,135700,1.2844238
Clemson University,SC,23300,0.3834,0.1475,21500,35015,13607,14109,18851,24833,27922,3.1747334,3.0593092,120200,1.2014058
University of Minnesota-Twin Cities,MN,31855,0.7975,0.1765,19500,30061,6642,7283,9931,16415,27008,3.8323159,1.2554858,101600,1.1697055
